simulation_num,region_value,pkeep,region_weights[region_value],value_clr,value_plr,value_paoi,value_aoi,value_pdr
1006.000000,725.000000,0.000000,0.001456,0.003509,0.991109,0.506453,0.881687,0.005292
1006.000000,775.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1006.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1006.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1007.000000,25.000000,0.000000,0.169849,0.004798,0.000557,0.101024,0.061271,0.989400
1007.000000,75.000000,0.000000,0.158408,0.029477,0.007891,0.104593,0.077717,0.957282
1007.000000,125.000000,0.000000,0.152123,0.078184,0.048497,0.115962,0.118604,0.868104
1007.000000,175.000000,0.000000,0.140843,0.122634,0.128839,0.134281,0.190477,0.743426
1007.000000,225.000000,0.000000,0.114979,0.149480,0.272228,0.159865,0.295675,0.573259
1007.000000,275.000000,0.000000,0.094513,0.137173,0.448277,0.182397,0.390965,0.410542
1007.000000,325.000000,0.000000,0.065506,0.117679,0.599732,0.207661,0.490503,0.279696
1007.000000,375.000000,0.000000,0.045927,0.094861,0.710870,0.229511,0.559990,0.192542
1007.000000,425.000000,0.000000,0.024978,0.064200,0.821254,0.250043,0.643826,0.113251
1007.000000,475.000000,0.000000,0.015470,0.042758,0.889852,0.268937,0.681369,0.066725
1007.000000,525.000000,0.000000,0.008460,0.027175,0.933644,0.296786,0.760912,0.038764
1007.000000,575.000000,0.000000,0.004190,0.015796,0.962220,0.333279,0.834752,0.021809
1007.000000,625.000000,0.000000,0.002578,0.009094,0.978168,0.373350,0.844354,0.012645
1007.000000,675.000000,0.000000,0.001289,0.005017,0.987601,0.431540,0.895838,0.007264
1007.000000,725.000000,0.000000,0.000403,0.001783,0.995559,0.495892,0.807321,0.002627
1007.000000,775.000000,0.000000,0.000483,0.001753,0.995236,0.570645,0.989826,0.002980
1007.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1007.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1008.000000,25.000000,0.000000,0.167694,0.003742,0.001328,0.100922,0.066240,0.989701
1008.000000,75.000000,0.000000,0.166626,0.026056,0.009201,0.104237,0.085244,0.959236
1008.000000,125.000000,0.000000,0.157419,0.071254,0.045844,0.114936,0.135340,0.877177
1008.000000,175.000000,0.000000,0.133991,0.116703,0.137448,0.134333,0.234144,0.740137
1008.000000,225.000000,0.000000,0.121578,0.136990,0.273030,0.155725,0.339010,0.585337
1008.000000,275.000000,0.000000,0.084834,0.135747,0.441805,0.180648,0.479310,0.418788
1008.000000,325.000000,0.000000,0.065023,0.119834,0.592258,0.207989,0.639087,0.284985
1008.000000,375.000000,0.000000,0.041184,0.093775,0.713022,0.230105,0.749455,0.190984
1008.000000,425.000000,0.000000,0.024990,0.066020,0.823080,0.255236,0.906261,0.109653
1008.000000,475.000000,0.000000,0.015208,0.042256,0.890023,0.270659,0.947512,0.066865
1008.000000,525.000000,0.000000,0.010358,0.029681,0.926758,0.301060,1.044294,0.043067
1008.000000,575.000000,0.000000,0.005672,0.015895,0.960828,0.326588,1.051218,0.022990
1008.000000,625.000000,0.000000,0.002548,0.008123,0.980422,0.386047,1.174998,0.011354
1008.000000,675.000000,0.000000,0.001644,0.005168,0.987041,0.422068,1.115166,0.007612
1008.000000,725.000000,0.000000,0.000740,0.002576,0.993286,0.494743,1.170964,0.004130
1008.000000,775.000000,0.000000,0.000493,0.001967,0.994479,0.545338,1.007553,0.003473
1008.000000,825.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1008.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1009.000000,25.000000,0.000000,0.167426,0.003317,0.000096,0.100705,0.084855,0.992485
1009.000000,75.000000,0.000000,0.160269,0.024652,0.007935,0.105369,0.146414,0.961586
1009.000000,125.000000,0.000000,0.149592,0.083994,0.049700,0.133485,0.313578,0.862726
1009.000000,175.000000,0.000000,0.135956,0.139278,0.130687,0.176406,0.754940,0.723296
1009.000000,225.000000,0.000000,0.123201,0.162032,0.281977,0.234547,1.352784,0.551884
1009.000000,275.000000,0.000000,0.099248,0.165728,0.429209,0.299969,2.025612,0.401043
1009.000000,325.000000,0.000000,0.065739,0.137836,0.578715,0.359264,2.803396,0.280166
1009.000000,375.000000,0.000000,0.038828,0.112380,0.722799,0.392085,2.949583,0.162983
1009.000000,425.000000,0.000000,0.026791,0.077313,0.805510,0.402653,2.426529,0.114520
1009.000000,475.000000,0.000000,0.015035,0.047243,0.883646,0.536743,2.064327,0.068382
1009.000000,525.000000,0.000000,0.009277,0.028841,0.935555,0.574020,3.278665,0.035248
1009.000000,575.000000,0.000000,0.004718,0.017637,0.962030,0.643818,2.552091,0.019857
1009.000000,625.000000,0.000000,0.002079,0.009872,0.980355,0.621722,2.306808,0.009773
1009.000000,675.000000,0.000000,0.001120,0.006591,0.988459,1.004238,3.766086,0.004950
1009.000000,725.000000,0.000000,0.000440,0.002474,0.994484,0.787534,1.875666,0.003042
1009.000000,775.000000,0.000000,0.000200,0.001351,0.997480,0.522847,0.531025,0.001169
1009.000000,825.000000,0.000000,0.000080,0.000538,0.998758,1.025694,3.244520,0.000705
1009.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
